Product ID,Store ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
101,1,15.00,15.50,0,30,"Reliable, good price.",1.5,0.20,1.2
102,1,19.99,18.50,0,15,"Good value, gets the job done. Wish it lasted longer.",2.1,0.50,1.5
103,2,45.00,48.00,0,8,"Works okay, but seems a bit expensive compared to others.",5.5,1.10,0.8
104,2,25.50,25.00,5,55,"Standard item, reliable.",1.0,0.75,1.1
105,1,22.00,21.00,0,60,"My favorite widget, always performs well.",0.5,0.60,1.8
106,3,75.50,70.00,0,10,"Very high quality, but the price is steep. Worth it?",3.0,2.50,0.5
107,3,9.99,10.50,10,45,"Cheap and cheerful, does what it says.",8.0,0.15,2.5
108,1,12.00,11.00,0,5,"Okay for the price, but breaks easily.",15.0,0.30,2.1
109,2,38.75,40.00,0,70,"Excellent product, best on the market!",1.2,1.50,1.0
110,3,18.00,17.99,0,25,"Solid performance, fair price point.",2.0,0.40,1.3
111,1,28.00,29.00,0,40,"Consistent results every time. Maybe slightly overpriced?",1.8,0.65,1.4
112,2,65.00,68.00,0,6,"Premium feel, premium price. Not sure about value.",4.2,1.80,0.7
113,3,5.50,5.00,15,90,"Incredibly cheap, but you get what you pay for. Often arrives damaged.",25.0,0.10,3.0
114,1,33.25,35.00,0,20,"Works well enough, good value for money.",3.1,0.80,1.6
115,2,49.99,49.99,0,35,"Top tier product, amazing features, worth the price",0.8,1.20,1.1